estu_consecutivo.1;estu_exterior;periodo;estu_tieneetnia;estu_tomo_cursopreparacion;estu_cursodocentesies;estu_cursoiesapoyoexterno;estu_cursoiesexterna;estu_simulacrotipoicfes;estu_actividadrefuerzoareas;estu_actividadrefuerzogeneric;fami_trabajolaborpadre;fami_trabajolabormadre;fami_numlibros;estu_inst_cod_departamento;estu_tipodocumento.1;estu_nacionalidad.1;estu_genero.1;estu_fechanacimiento.1;periodo.1;estu_estudiante.1;estu_pais_reside.1;estu_depto_reside.1;estu_cod_reside_depto.1;estu_mcpio_reside.1;estu_cod_reside_mcpio.1;estu_areareside;estu_valorpensioncolegio;fami_educacionpadre.1;fami_educacionmadre.1;fami_ocupacionpadre.1;fami_ocupacionmadre.1;fami_estratovivienda.1;fami_nivelsisben;fami_pisoshogar;fami_tieneinternet.1;fami_tienecomputador.1;fami_tienemicroondas;fami_tienehorno;fami_tieneautomovil.1;fami_tienedvd;fami_tiene_nevera.1;fami_tiene_celular.1;fami_telefono.1;fami_ingresofmiliarmensual;estu_trabajaactualmente;estu_antecedentes;estu_expectativas;cole_codigo_icfes;cole_cod_dane_establecimiento;cole_nombre_establecimiento;cole_genero;cole_naturaleza;cole_calendario;cole_bilingue;cole_caracter;cole_cod_dane_sede;cole_nombre_sede;cole_sede_principal;cole_area_ubicacion;cole_jornada;cole_cod_mcpio_ubicacion;cole_mcpio_ubicacion;cole_cod_depto_ubicacion;cole_depto_ubicacion;punt_lenguaje;punt_matematicas;punt_biologia;punt_quimica;punt_fisica;punt_ciencias_sociales;punt_filosofia;punt_ingles;desemp_ingles;profundiza;puntaje_prof;desemp_prof;exito
SB11201220420564;NO;20173;No;;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;Si;No;No;;;11 A 25 LIBROS;18;TI;COLOMBIA;F;4/10/1996;20122;ESTUDIANTE;COLOMBIA;CAQUETA;18;BELÉN DE LOS ANDAQUÍES;18094;Cabecera Municipal;No paga Pensión;;;;;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;;91587;1.83094E+11;I.E GABRIELA MISTRAL;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.83094E+11;GABRIELA MISTRAL;S;URBANO;TARDE;18094;BELÉN DE LOS ANDAQUÍES;18;CAQUETA;47;42;49;45;48;37;43;45;A1;PUNT_INTERDISC_MEDIOAMBIENTE;55;;1
SB11201320366905;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;17/7/1996;20132;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;No paga Pensión;Educación profesional completa;Primaria completa;Pensionado;Hogar;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;No;145367;3.05001E+11;COL FUNDADORES EN ADMINISTRACION (AC);MIXTO;NO OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.05001E+11;COL FUNDADORES EN ADMINISTRACION (AC);S;URBANO;MAÑANA;5001;MEDELLÍN;5;ANTIOQUIA;48;52;46;47;44;43;46;47;A1;PUNT_INTERDISC_MEDIOAMBIENTE;48;;0
SB11201220481801;NO;20163;No;;;;;;;;;;26 A 100 LIBROS;11;TI;COLOMBIA;F;27/10/1994;20122;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;SOACHA;25754;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado con cargo como director o gerente general;Empleado de nivel auxiliar o administrativo;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;;91835;3.25754E+11;INSTITUTO DE INVESTIGACION AMBIENTAL JOAQUIN MONTOYA;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.25754E+11;INSTITUTO DE INVESTIGACION AMBIENTAL JOAQUIN MONTOYA;S;URBANO;COMPLETA;25754;SOACHA;25;CUNDINAMARCA;46;25;32;45;40;38;40;36;A-;PUNT_INTERDISC_MEDIOAMBIENTE;50;;0
SB11201220103136;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja por cuenta propia (por ejemplo plomero, electricista);0 A 10 LIBROS;5;TI;COLOMBIA;F;29/10/1995;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;;Primaria incompleta;;;;Estrato 3;No está clasificada por el SISBEN;Madera burda, tabla, tablón;Si;;Si;Si;Si;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;;No;;80358;1.05001E+11;INST EDUC CEFA;FEMENINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.05001E+11;INST EDUC CEFA;S;URBANO;MAÑANA;5001;MEDELLÍN;5;ANTIOQUIA;55;53;39;40;28;58;47;52;A1;PUNT_PROFUNDIZA_LENGUAJE;6;I;1
SB11201410003264;NO;20183;No;;;;;;;;No aplica;Trabaja en el hogar, no trabaja o estudia;26 A 100 LIBROS;11;TI;COLOMBIA;F;21/8/1996;20141;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Educación profesional completa;Educación profesional completa;Pensionado;Pensionado;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;Si;25130;3.11848E+11;GIMN VERMONT                                                                                        ;MIXTO;NO OFICIAL;B;S;ACADÉMICO;3.11848E+11;GIMN VERMONT;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;66;58;57;66;48;66;62;89;B+;PUNT_PROFUNDIZA_CSOCIALES;5;I;1
SB11201320294865;NO;20183;No;;;;;;;;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;26 A 100 LIBROS;11;TI;COLOMBIA;F;7/12/1995;20132;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;LA CALERA;25377;Cabecera Municipal;No paga Pensión;No sabe;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 2;Madera burda, tabla, tablón;Si;Si;Si;No;No;No;Si;No;Si;Entre 1 y menos de 2 SMLV;No;No;No;126383;1.25377E+11;INSTITUCION EDUCATIVA INTEGRADO LA CALERA;MIXTO;OFICIAL;A;N;ACADÉMICO;1.25377E+11;INST EDUCATIVA DEPTAL COLEGIO DEPTAL INTEGRADO;S;URBANO;MAÑANA;25377;LA CALERA;25;CUNDINAMARCA;52;52;46;53;44;39;40;39;A-;PUNT_PROFUNDIZA_CSOCIALES;5;I;0
SB11201220522841;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;11;TI;COLOMBIA;M;21/5/1995;20122;ESTUDIANTE;COLOMBIA;SANTANDER;68;SUCRE;68773;Area Rural;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Pequeño empresario;Hogar;Estrato 1;Nivel 2;Tierra, arena;Si;Si;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;65730;2.68773E+11;COLEGIO BERNORAMA;MIXTO;OFICIAL;A;N;ACADÉMICO;2.68773E+11;COLEGIO BERNORAMA;S;RURAL;COMPLETA;68773;SUCRE;68;SANTANDER;44;46;43;38;37;38;43;43;A1;PUNT_INTERDISC_MEDIOAMBIENTE;49;;0
SB11201320334106;NO;20183;No;;;;;;;;Pensionado;Trabaja en el hogar, no trabaja o estudia;11 A 25 LIBROS;11;TI;COLOMBIA;F;7/3/1997;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Area Rural;Entre 150.000 y menos de 250.000;No sabe;Primaria completa;Pensionado;Hogar;Estrato 4;Nivel 3;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 5 y menos de 7 SMLV;No;No;No;25577;3.11001E+11;COLEGIO DE NUESTRA SEÑORA DEL PILAR;FEMENINO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;COL DE NSTRA SRA DEL PILAR (CHAPINERO);S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;40;47;47;47;34;39;56;47;A1;PUNT_INTERDISC_VIOLENCIAYSOC;39;;0
SB11201220568113;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;17;TI;COLOMBIA;M;13/10/1995;20122;ESTUDIANTE;COLOMBIA;CALDAS;17;NEIRA;17486;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 3;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;6551;1.17486E+11;INSTITUCION EDUCATIVA NEIRA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.17486E+11;INSTITUCIÓN EDUCATIVA NEIRA - SEDE PRINCIPAL;S;URBANO;MAÑANA;17486;NEIRA;17;CALDAS;53;52;45;51;43;40;40;52;A1;PUNT_INTERDISC_MEDIOAMBIENTE;54;;0
SB11201220579119;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;1/3/1997;20122;ESTUDIANTE;COLOMBIA;ARAUCA;81;SARAVENA;81736;Cabecera Municipal;No paga Pensión;Primaria incompleta;Técnica o tecnológica completa;Pequeño empresario;Profesional independiente;Estrato 1;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;No;No;Si;Si;Si;Si;Menos de 1 SMLV;No;No;;;1.81736E+11;INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA;MIXTO;OFICIAL;A;N;TÉCNICO;1.81736E+11;JOSE EUSTASIO RIVERA;S;URBANO;MAÑANA;81736;SARAVENA;81;ARAUCA;46;42;47;46;43;48;30;55;A2;PUNT_PROFUNDIZA_MATEMATICA;5;GB;0
SB11201320584229;NO;20183;No;;;;;;;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);0 A 10 LIBROS;11;TI;COLOMBIA;F;18/1/1997;20132;ESTUDIANTE;COLOMBIA;HUILA;41;NEIVA;41001;;Entre 87.000 y menos de 120.000;Primaria completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Hogar;Estrato 2;No está clasificada por el SISBEN;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;No;127621;3.41001E+11;INSTITUTO DE FORMACIÓN SCOUT JOSÉ JULIÁN MARTÍ (ANTES INSTITUTO HUILENSE JOSÉ MARTÍ);MIXTO;NO OFICIAL;A;;TÉCNICO/ACADÉMICO;3.41001E+11;INSTITUTO DE FORMACIÓN SCOUT JOSÉ JULIÁN MARTÍ (ANTES INSTITUTO HUILENSE JOSÉ MARTÍ);S;URBANO;COMPLETA;41001;NEIVA;41;HUILA;68;52;64;52;59;51;50;71;B1;PUNT_PROFUNDIZA_LENGUAJE;5;I;1
SB11201220516199;NO;20183;No;;;;;;;;No aplica;No aplica;0 A 10 LIBROS;11;TI;COLOMBIA;F;9/9/1994;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;SAN JUAN DE URABÁ;5659;Cabecera Municipal;No paga Pensión;Educación profesional completa;Educación profesional completa;Otra actividad u ocupación;Otra actividad u ocupación;Estrato 1;Nivel 1;Tierra, arena;No;No;No;No;No;No;Si;No;No;Menos de 1 SMLV;No;No;;1339;2.05051E+11;I. E. SAN JUAN DE URABA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;2.05051E+11;COLEGIO SAN JUAN DE URABA;S;URBANO;MAÑANA;5659;SAN JUAN DE URABÁ;5;ANTIOQUIA;46;45;35;45;43;46;34;40;A-;PUNT_PROFUNDIZA_CSOCIALES;5;GB;0
SB11201220104169;NO;20173;No;;;;;;;;;;MÁS DE 100 LIBROS;5;TI;COLOMBIA;F;4/6/1994;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;250.000 o más;Educación profesional completa;Secundaria (Bachillerato) completa;Empresario;Hogar;Estrato 6;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;;No;Si;;281;3.05001E+11;COMUNIDAD COLEGIO JESUS MARIA;FEMENINO;NO OFICIAL;A;N;ACADÉMICO;3.05001E+11;COMUNIDAD COLEGIO DE JESUS MARIA;S;URBANO;COMPLETA;5001;MEDELLÍN;5;ANTIOQUIA;55;59;52;48;46;46;53;56;A2;PUNT_INTERDISC_VIOLENCIAYSOC;45;;1
SB11201220586948;;20152;;Si;Entre 20 y 30 horas;No tomó Curso;No tomó curso;Si;Si;No;;;;11;TI;COLOMBIA;F;3/11/1995;20122;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;FUNZA;25286;Cabecera Municipal;;;;;Hogar;Estrato 3;Nivel 1;Madera burda, tabla, tablón;No;;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;;No;;141887;1.25286E+11;I.E.D. MIGUEL ANTONIO CARO;MIXTO;OFICIAL;A;N;ACADÉMICO;1.25286E+11;CONCENTRACION  URBANA MIGUEL ANTONIO CARO;N;URBANO;NOCHE;25286;FUNZA;25;CUNDINAMARCA;38;55;39;41;38;48;39;42;A-;PUNT_INTERDISC_VIOLENCIAYSOC;48;;1
